gene_name,annotation
ESR1,plasma membrane
ESR1,mitochondrial outer membrane
ESR1,Golgi membrane
ESRRG,nucleoplasm
ETNK1,cytosol
ETS1,cytosol
ETS1,nucleoplasm
ETV1,plasma membrane
ETV1,cytosol
ETV4,nucleoplasm
ETV6,nucleoplasm
ETV6,plasma membrane
ETV6,cytosol
EVC2,ciliary tip
EVC2,ciliary membrane
EVC2,endocytic vesicle membrane
EVPL,cornified envelope
EVPL,plasma membrane
EVPL,cytosol
EXOC2,secretory granule membrane
EXOC2,Golgi-associated vesicle membrane
EXOC2,plasma membrane
EXOC2,cytosol
EXOC7,secretory granule membrane
EXOC7,Golgi-associated vesicle membrane
EXOC7,plasma membrane
EXOC7,cytosol
EXOC8,secretory granule membrane
EXOC8,Golgi-associated vesicle membrane
EXOC8,plasma membrane
EXOC8,cytosol
EXOSC6,nucleoplasm
EXOSC6,cytosol
EXT1,Golgi lumen
EXT1,Golgi membrane
EXT2,Golgi lumen
EXT2,Golgi membrane
EYA1,nucleoplasm
EYA4,nucleoplasm
EYS,plasma membrane
EYS,cytosol
EZH1,nucleoplasm
EZH2,cytosol
EZH2,nucleoplasm
EZR,plasma membrane
EZR,cytosol
F5,plasma membrane
F5,endoplasmic reticulum-Golgi intermediate compartment membrane
F5,platelet alpha granule lumen
F5,extracellular region
F5,COPII-coated ER to Golgi transport vesicle
F5,endoplasmic reticulum lumen
F8,platelet alpha granule lumen
F8,COPII-coated ER to Golgi transport vesicle
F8,plasma membrane
F8,Golgi lumen
F8,endoplasmic reticulum-Golgi intermediate compartment membrane
F8,Golgi membrane
F8,extracellular region
F8,endoplasmic reticulum lumen
FAAH2,lipid droplet
FAAH2,endoplasmic reticulum membrane
FAAH2,cytosol
FAM50A,nucleoplasm
FAM83B,plasma membrane
FAM83B,cytosol
FANCA,nucleoplasm
FANCA,cytosol
FANCC,nucleoplasm
FANCC,cytosol
FANCD2,nucleoplasm
FANCE,nucleoplasm
FANCE,cytosol
FANCF,cytosol
FANCF,nucleoplasm
FANCG,nucleoplasm
FANCG,cytosol
FANCL,nucleoplasm
FANCL,cytosol
FANCM,nucleoplasm
FANCM,cytosol
FAS,mitochondrial matrix
FAS,lipid droplet
FAS,peroxisomal membrane
FAS,nucleoplasm
FAS,plasma membrane
FAS,lysosomal lumen
FAS,peroxisomal matrix
FAS,endosome membrane
FAS,early endosome
FAS,azurophil granule lumen
FAS,cytosol
FAS,extracellular region
FAS,mitochondrial inner membrane
FAS,endoplasmic reticulum membrane
FAS,mitochondrial outer membrane
FBF1,cytosol
FBLN1,extracellular region
FBLN2,extracellular region
FBN2,extracellular region
FBN3,extracellular region
FBXL17,nucleoplasm
FBXO11,cytosol
FBXO31,nucleoplasm
FBXO31,cytosol
FBXO32,nucleoplasm
FBXO32,cytosol
FBXO40,cytosol
FBXO5,nucleoplasm
FBXO5,cytosol
FBXO9,cytosol
FBXW2,cytosol
FBXW5,cytosol
FBXW7,cytosol
FBXW7,nucleoplasm
FCER1A,plasma membrane
FCF1,nucleoplasm
FCGR2B,plasma membrane
FCGR3A,plasma membrane
FCGR3A,cytosol
FCGR3A,extracellular region
FCSK,cytosol
FDX1,mitochondrial matrix
FDXR,mitochondrial matrix
FEM1A,cytosol
FEN1,nucleoplasm
FES,mitochondrial matrix
FES,mitochondrial inner membrane
FES,cytosol
FES,phagocytic vesicle
FES,mitochondrial intermembrane space
FES,plasma membrane
FES,nucleoplasm
FES,extracellular region
FGA,plasma membrane
FGA,cytosol
FGA,platelet alpha granule lumen
FGA,extracellular region
FGA,endoplasmic reticulum lumen
FGB,plasma membrane
FGB,extracellular region
FGB,platelet alpha granule lumen
FGF10,plasma membrane
FGF10,nucleoplasm
FGF10,extracellular region
FGF12,cytosol
FGF14,cytosol
FGF19,plasma membrane
FGF19,cytosol
FGF19,extracellular region
FGF2,cytosol
FGF2,plasma membrane
FGF2,Golgi lumen
FGF2,Golgi membrane
FGF2,endoplasmic reticulum lumen
FGF2,nucleoplasm
FGF2,extracellular region
FGF23,cytosol
FGF23,plasma membrane
FGF23,Golgi lumen
FGF23,Golgi membrane
FGF23,extracellular region
FGF23,endoplasmic reticulum lumen
FGF3,extracellular region
FGF4,plasma membrane
FGF4,nucleoplasm
FGF4,extracellular region
FGF5,extracellular region
FGF6,plasma membrane
FGF6,extracellular region
FGFBP1,extracellular region
FGFR1,cytosol
FGFR1,nucleoplasm
FGFR1,extracellular region
FGFR1,plasma membrane
FGFR2,cytosol
FGFR2,nucleoplasm
FGFR2,extracellular region
FGFR2,plasma membrane
FGFR3,cytosol
FGFR3,extracellular region
FGFR3,plasma membrane
FGFR4,cytosol
FGFR4,extracellular region
FGFR4,plasma membrane
FH,mitochondrial matrix
FH,cytosol
FH,peroxisomal matrix
FH,peroxisomal membrane
FH,nucleoplasm
FH,extracellular region
FH,mitochondrial inner membrane
FH,plasma membrane
FH,endoplasmic reticulum membrane
FH,Golgi lumen
FH,Golgi membrane
FH,early endosome
FH,endoplasmic reticulum lumen
FIP1L1,plasma membrane
FIP1L1,cytosol
FIP1L1,nucleoplasm
FKBP9,sarcoplasmic reticulum membrane
FKBP9,cytosol
FLCN,lysosomal membrane
FLCN,cytosol
FLG,plasma membrane
FLG,tertiary granule lumen
FLG,cytosol
FLG,extracellular region
FLI1,nucleoplasm
FLI1,cytosol
FLII,plasma membrane
FLII,cytosol
FLNA,extracellular region
FLNA,cytosol
FLRT2,plasma membrane
FLT1,plasma membrane
FLT1,cytosol
FLT3,cytosol
FLT3,nucleoplasm
FLT3,extracellular region
FLT3,plasma membrane
FLT3,endosome membrane
FLT4,cytosol
FLT4,platelet alpha granule lumen
FLT4,plasma membrane
FLT4,nucleoplasm
FLT4,extracellular region
FMNL3,plasma membrane
FMNL3,cytosol
FMNL3,endosome membrane
FMNL3,nucleoplasm
FMR1,tertiary granule lumen
FMR1,secretory granule lumen
FMR1,cytosol
FMR1,specific granule lumen
FMR1,extracellular region
FN3KRP,cytosol
FNBP1,plasma membrane
FNBP1,cytosol
FNBP1L,plasma membrane
FNBP1L,cytosol
FOLH1,plasma membrane
FOXA1,nucleoplasm
FOXA1,endoplasmic reticulum lumen
FOXA2,nucleoplasm
FOXA2,endoplasmic reticulum lumen
FOXF1,nucleoplasm
FOXF1,extracellular region
FOXK1,nucleoplasm
FOXK2,nucleoplasm
FOXL2,nucleoplasm
FOXM1,nucleoplasm
FOXM1,cytosol
FOXO1,cytosol
FOXO1,endoplasmic reticulum membrane
FOXO1,plasma membrane
FOXO1,nucleoplasm
FOXO1,extracellular region
FOXO3,mitochondrial matrix
FOXO3,cytosol
FOXO3,plasma membrane
FOXO3,mitochondrial outer membrane
FOXO3,nucleoplasm
FOXO3,extracellular region
FOXO4,cytosol
FOXO4,nucleoplasm
FOXO4,extracellular region
FOXP1,nucleoplasm
FPR1,secretory granule membrane
FPR1,ficolin-1-rich granule membrane
FPR1,plasma membrane
FPR1,azurophil granule membrane
FPR1,nucleoplasm
FPR1,extracellular region
FRS2,cytosol
FRS2,endosome
FRS2,plasma membrane
FRS2,endosome membrane
FRS2,nucleoplasm
FRS2,extracellular region
FSHR,plasma membrane
FSTL1,extracellular region
FSTL1,endoplasmic reticulum lumen
FSTL3,extracellular region
FSTL3,endoplasmic reticulum lumen
FTCD,cytosol
FTH1,tertiary granule lumen
FTH1,cytosol
FTH1,endocytic vesicle lumen
FTH1,extracellular region
FTH1,ficolin-1-rich granule lumen
FTO,nucleoplasm
FUBP1,nucleoplasm
FURIN,cytosol
FURIN,secretory granule lumen
FURIN,nucleoplasm
FURIN,extracellular region
FURIN,Golgi-associated vesicle lumen
FURIN,plasma membrane
FURIN,Golgi lumen
FURIN,Golgi membrane
FURIN,endoplasmic reticulum membrane
FURIN,endoplasmic reticulum lumen
FUS,recycling endosome membrane
FUS,nucleoplasm
FUS,phagocytic vesicle membrane
FUS,endosome lumen
FUS,ER to Golgi transport vesicle membrane
FUS,nuclear envelope
FUS,plasma membrane
FUS,Golgi membrane
FUS,endocytic vesicle membrane
FUS,cytoplasmic vesicle membrane
FUS,cytosol
FUS,trans-Golgi network membrane
FUS,extracellular region
FUS,endoplasmic reticulum membrane
FUS,mitochondrial outer membrane
FUS,clathrin-coated endocytic vesicle
FXR1,cytosol
FXYD3,plasma membrane
FYN,cytosol
FYN,plasma membrane
FYN,extracellular region
FZD1,plasma membrane
FZD3,plasma membrane
FZR1,cytosol
FZR1,nucleoplasm
G3BP1,endoplasmic reticulum-Golgi intermediate compartment membrane
G3BP1,cytosol
G3BP2,cytosol
G6PC,endoplasmic reticulum membrane
G6PC,cytosol
G6PC,nucleoplasm
G6PC,endoplasmic reticulum lumen
GAB1,recycling endosome membrane
GAB1,cytosol
GAB1,plasma membrane
GAB1,peptidoglycan-based cell wall
GAB1,extracellular region
GAB2,cytosol
GAB2,plasma membrane
GAB2,endosome membrane
GAB2,extracellular region
GAB3,plasma membrane
GAB3,cytosol
GABRA1,plasma membrane
GABRA1,cytosol
GABRA1,extracellular region
GABRA2,plasma membrane
GABRA2,cytosol
GABRA2,extracellular region
GABRA6,plasma membrane
GABRB2,plasma membrane
GALNS,azurophil granule lumen
GALNS,extracellular region
GALNS,lysosomal lumen
GALNT13,Golgi membrane
GALNTL5,Golgi membrane
GALNTL6,Golgi membrane
GATA1,plasma membrane
GATA1,nucleoplasm
GATA2,nucleoplasm
GATA2,cytosol
GATA3,nucleoplasm
GATA4,plasma membrane
GATA4,cytosol
GATA4,nucleoplasm
GATA4,extracellular region
GATA6,plasma membrane
GATA6,nucleoplasm
GATA6,endoplasmic reticulum membrane
GATM,mitochondrial intermembrane space
GBE1,cytosol
GCC2,trans-Golgi network membrane
GCC2,cytosol
GDF5,extracellular region
GFRA1,plasma membrane
GFRAL,plasma membrane
GFRAL,extracellular region
GGA3,recycling endosome membrane
GGA3,plasma membrane
GGA3,early endosome membrane
GGA3,endosome membrane
GGCT,cytosol
GINS1,nucleoplasm
GLI1,ciliary tip
GLI1,ciliary base
GLI1,cytosol
GLI1,nucleoplasm
GLI3,ciliary base
GLI3,ciliary tip
GLI3,ciliary membrane
GLI3,cytosol
GLI3,nucleoplasm
GLI3,endocytic vesicle membrane
GLRA3,plasma membrane
GLS2,mitochondrial matrix
GLS2,nucleoplasm
GLYAT,mitochondrial matrix
GML,nucleoplasm
GMPS,photoreceptor disc membrane
GMPS,mitochondrial matrix
GMPS,cytosol
GMPS,endoplasmic reticulum membrane
GMPS,plasma membrane
GMPS,Golgi membrane
GMPS,nucleoplasm
GMPS,extracellular region
GMPS,cytoplasmic vesicle membrane
GNA11,plasma membrane
GNA11,cytosol
GNA12,plasma membrane
GNA12,cytosol
GNA13,plasma membrane
GNA13,cytosol
GNA14,plasma membrane
GNA14,cytosol
GNA15,plasma membrane
GNA15,cytosol
GNAI1,plasma membrane
GNAI2,plasma membrane
GNAQ,plasma membrane
GNAQ,cytosol
GNAS,plasma membrane
GNAS,cytosol
GNAT1,photoreceptor disc membrane
GNAT1,cytoplasmic side of plasma membrane
GNAT1,plasma membrane
GNAT1,cytosol
GNB1,photoreceptor disc membrane
GNB1,plasma membrane
GNB1,cytosol
GNG2,plasma membrane
GNG3,plasma membrane
GNG7,plasma membrane
GOLGA2,ER to Golgi transport vesicle membrane
GOLGA2,endoplasmic reticulum-Golgi intermediate compartment membrane
GOLGA2,cytosol
GOLGA2,Golgi membrane
GOLGA5,transport vesicle
GOLGA5,Golgi membrane
GOLGB1,plasma membrane
GOLGB1,cytosol
GOLGB1,Golgi membrane
GOPC,Golgi-associated vesicle membrane
GOPC,plasma membrane
GOPC,lysosomal membrane
GORASP1,ER to Golgi transport vesicle membrane
GORASP1,endoplasmic reticulum-Golgi intermediate compartment membrane
GORASP1,cytosol
GORASP1,Golgi membrane
GOT1,mitochondrial matrix
GOT1,cytosol
GPAM,mitochondrial outer membrane
GPAM,cytosol
GPAM,nucleoplasm
GPAT4,endoplasmic reticulum membrane
GPC3,plasma membrane
GPC3,Golgi lumen
GPC3,lysosomal lumen
GPC3,endoplasmic reticulum lumen
GPC5,plasma membrane
GPC5,Golgi lumen
GPC5,lysosomal lumen
GPC5,extracellular region
GPC6,plasma membrane
GPC6,Golgi lumen
GPC6,cytosol
GPC6,lysosomal lumen
GPHN,plasma membrane
GPHN,extracellular region
GPR183,plasma membrane
GPR183,extracellular region
GPR32,plasma membrane
GPRIN1,nucleoplasm
GPRIN1,plasma membrane
GPS1,plasma membrane
GPS1,nucleoplasm
GPS1,cytosol
GPS2,plasma membrane
GPS2,nucleoplasm
GPX1,mitochondrial matrix
GPX1,cytosol
GPX5,extracellular region
GRB2,cytosol
GRB2,nucleoplasm
GRB2,extracellular region
GRB2,cytoplasmic side of plasma membrane
GRB2,plasma membrane
GRB2,endoplasmic reticulum membrane
GRB2,peptidoglycan-based cell wall
GRB2,endosome membrane
GRHPR,peroxisomal matrix
GRIA2,plasma membrane
GRIA2,nucleoplasm
GRIA2,endocytic vesicle membrane
GRIA3,plasma membrane
GRIA3,endocytic vesicle membrane
GRIK2,plasma membrane
GRIK2,cytosol
GRIK2,extracellular region
GRIK3,plasma membrane
GRIK3,cytosol
GRIK3,extracellular region
GRIK5,plasma membrane
GRIN1,nucleoplasm
GRIN1,plasma membrane
GRIN1,endoplasmic reticulum membrane
GRIN1,cytosol
GRIN1,transport vesicle membrane
GRIN1,extracellular region
GRIN2A,plasma membrane
GRIN2A,endoplasmic reticulum membrane
GRIN2A,cytosol
GRIN2A,nucleoplasm
GRIN2D,plasma membrane
GRIN2D,endoplasmic reticulum membrane
GRM1,plasma membrane
GRM3,plasma membrane
GRM5,plasma membrane
GRM8,plasma membrane
GRSF1,mitochondrial matrix
GRSF1,cytosol
GSDME,cytosol
GSDME,plasma membrane
GSDME,mitochondrial outer membrane
GSDME,nucleoplasm
GSK3A,nucleoplasm
GSK3A,cytosol
GSK3B,cytosol
GSK3B,early endosome membrane
GSK3B,plasma membrane
GSK3B,nucleoplasm
GSK3B,extracellular region
GSTA4,cytosol
GSTM5,cytosol
GTF2B,nucleoplasm
GTSE1,nucleoplasm
GTSE1,cytosol
GUCY1A2,cytosol
GUSB,azurophil granule lumen
GUSB,ficolin-1-rich granule lumen
GUSB,lysosomal lumen
GUSB,extracellular region
GYPC,plasma membrane
H1-2,mitochondrial matrix
H1-2,clathrin-coated endocytic vesicle membrane
H1-2,external side of plasma membrane
H1-2,lipid droplet
H1-2,transport vesicle
H1-2,endoplasmic reticulum quality control compartment
H1-2,peroxisomal membrane
H1-2,phagocytic vesicle lumen
H1-2,nucleoplasm
H1-2,phagocytic vesicle membrane
H1-2,ciliary tip
H1-2,photoreceptor inner segment membrane
H1-2,ciliary base
H1-2,nuclear envelope
H1-2,plasma membrane
H1-2,Golgi membrane
H1-2,lysosomal lumen
H1-2,cilium
H1-2,peroxisomal matrix
H1-2,endosome membrane
H1-2,endolysosome membrane
H1-2,smooth endoplasmic reticulum
H1-2,endocytic vesicle membrane
H1-2,cytosol
H1-2,synaptic vesicle membrane
H1-2,trans-Golgi network membrane
H1-2,extracellular region
H1-2,mitochondrial inner membrane
H1-2,photoreceptor disc membrane
H1-2,integral component of lumenal side of endoplasmic reticulum membrane
H1-2,lysosomal membrane
H1-2,COPII-coated ER to Golgi transport vesicle
H1-2,endoplasmic reticulum membrane
H1-2,mitochondrial outer membrane
H1-2,Golgi lumen
H1-2,endoplasmic reticulum-Golgi intermediate compartment membrane
H1-2,early endosome membrane
H1-2,endoplasmic reticulum lumen
H1-3,clathrin-coated endocytic vesicle membrane
H1-3,mitochondrial matrix
H1-3,late endosome membrane
H1-3,endoplasmic reticulum quality control compartment
H1-3,peroxisomal membrane
H1-3,platelet dense tubular network membrane
H1-3,nucleoplasm
H1-3,ciliary tip
H1-3,ER to Golgi transport vesicle membrane
H1-3,ciliary base
H1-3,nuclear envelope
H1-3,plasma membrane
H1-3,Golgi membrane
H1-3,lysosomal lumen
H1-3,smooth endoplasmic reticulum
H1-3,phagophore assembly site membrane
H1-3,endosome membrane
H1-3,peroxisomal matrix
H1-3,endocytic vesicle membrane
H1-3,cytoplasmic vesicle membrane
H1-3,cytosol
H1-3,trans-Golgi network membrane
H1-3,endoplasmic reticulum lumen
H1-3,extracellular region
H1-3,mitochondrial inner membrane
H1-3,lysosomal membrane
H1-3,COPII-coated ER to Golgi transport vesicle
H1-3,endoplasmic reticulum membrane
H1-3,Golgi lumen
H1-3,endoplasmic reticulum-Golgi intermediate compartment membrane
H1-3,mitochondrial outer membrane
H1-3,early endosome membrane
H1-3,clathrin-coated endocytic vesicle
H1-4,azurophil granule lumen
H1-4,mitochondrial matrix
H1-4,clathrin-coated endocytic vesicle membrane
H1-4,cytosol
H1-4,early endosome membrane
H1-4,peroxisomal matrix
H1-4,platelet dense tubular network membrane
H1-4,nucleoplasm
H1-4,cytoplasm
H1-4,extracellular region
H1-4,photoreceptor disc membrane
H1-4,mitochondrial inner membrane
H1-4,smooth endoplasmic reticulum
H1-4,nuclear envelope
H1-4,plasma membrane
H1-4,endoplasmic reticulum membrane
H1-4,Golgi lumen
H1-4,lysosomal lumen
H1-4,mitochondrial outer membrane
H1-4,Golgi membrane
H1-4,endosome membrane
H1-4,endoplasmic reticulum lumen
H1-4,cytoplasmic vesicle membrane
H1-5,mitochondrial matrix
H1-5,clathrin-coated endocytic vesicle membrane
H1-5,late endosome membrane
H1-5,endoplasmic reticulum quality control compartment
H1-5,platelet dense tubular network membrane
H1-5,nucleoplasm
H1-5,double membrane vesicle viral factory outer membrane
H1-5,nuclear envelope
H1-5,plasma membrane
H1-5,Golgi membrane
H1-5,lysosomal lumen
H1-5,smooth endoplasmic reticulum
H1-5,peroxisomal matrix
H1-5,phagophore assembly site membrane
H1-5,multivesicular body lumen
H1-5,endosome membrane
H1-5,cytoplasmic vesicle membrane
H1-5,cytosol
H1-5,trans-Golgi network membrane
H1-5,endoplasmic reticulum lumen
H1-5,extracellular region
H1-5,mitochondrial inner membrane
H1-5,lysosomal membrane
H1-5,cell junction
H1-5,endoplasmic reticulum membrane
H1-5,Golgi lumen
H1-5,early endosome membrane
H1-5,clathrin-coated endocytic vesicle
H1-8,clathrin-coated endocytic vesicle membrane
H1-8,mitochondrial matrix
H1-8,cytosol
H1-8,synaptic vesicle membrane
H1-8,nucleoplasm
H1-8,extracellular region
H1-8,smooth endoplasmic reticulum
H1-8,nuclear envelope
H1-8,plasma membrane
H1-8,endoplasmic reticulum membrane
H1-8,Golgi membrane
H1-8,mitochondrial outer membrane
H1-8,peroxisomal matrix
H1-8,endosome membrane
H1-8,endoplasmic reticulum lumen
H2AC11,nucleoplasm
H2AC16,nucleoplasm
H2AC17,nucleoplasm
H2AC20,nucleoplasm
H2AC20,extracellular region
H2AC6,nucleoplasm
H2AC6,extracellular region
H2AC7,nucleoplasm
H2AC7,extracellular region
H2AZ2,nucleoplasm
H2BC11,nucleoplasm
H2BC11,extracellular region
H2BC12,nucleoplasm
H2BC12,extracellular region
H2BC17,nucleoplasm
H2BC17,extracellular region
H2BC3,nucleoplasm
H2BC3,extracellular region
H2BC4,nucleoplasm
H2BC4,extracellular region
H2BC5,nucleoplasm
H2BC5,extracellular region
H2BC7,nucleoplasm
H2BC7,extracellular region
H2BC8,nucleoplasm
H2BC8,extracellular region
H2BC9,nucleoplasm
H2BC9,extracellular region
H3-3A,platelet dense granule lumen
H3-3A,nucleoplasm
H3-3A,double membrane vesicle viral factory outer membrane
H3-3A,endocytic vesicle lumen
H3-3A,endoplasmic reticulum-Golgi intermediate compartment
H3-3A,mitochondrial intermembrane space
H3-3A,secretory granule membrane
H3-3A,nuclear envelope
H3-3A,plasma membrane
H3-3A,Golgi membrane
H3-3A,smooth endoplasmic reticulum
H3-3A,endosome membrane
H3-3A,endolysosome membrane
H3-3A,endocytic vesicle membrane
H3-3A,autophagosome membrane
H3-3A,cytosol
H3-3A,clathrin-sculpted gamma-aminobutyric acid transport vesicle membrane
H3-3A,extracellular region
H3-3A,mitochondrial inner membrane
H3-3A,lysosomal membrane
H3-3A,endoplasmic reticulum membrane
H3-3A,Golgi lumen
H3-3A,endoplasmic reticulum-Golgi intermediate compartment membrane
H3-3A,mitochondrial outer membrane
H3-3A,early endosome membrane
H3-3A,endoplasmic reticulum lumen
H3-3B,ficolin-1-rich granule membrane
H3-3B,platelet dense granule lumen
H3-3B,peroxisomal membrane
H3-3B,nucleoplasm
H3-3B,double membrane vesicle viral factory outer membrane
H3-3B,secretory granule membrane
H3-3B,nuclear envelope
H3-3B,plasma membrane
H3-3B,phagophore assembly site membrane
H3-3B,autophagosome membrane
H3-3B,cytosol
H3-3B,extracellular region
H3-3B,endoplasmic reticulum membrane
H3-3B,endoplasmic reticulum-Golgi intermediate compartment membrane
H3-3B,mitochondrial outer membrane
H3-3B,Golgi lumen
H3-4,mitochondrial matrix
H3-4,clathrin-coated endocytic vesicle membrane
H3-4,platelet dense granule lumen
H3-4,platelet dense tubular network membrane
H3-4,nucleoplasm
H3-4,cytoplasm
H3-4,nuclear envelope
H3-4,plasma membrane
H3-4,Golgi membrane
H3-4,lysosomal lumen
H3-4,endosome membrane
H3-4,peroxisomal matrix
H3-4,cytoplasmic vesicle membrane
H3-4,azurophil granule lumen
H3-4,cytosol
H3-4,extracellular region
H3-4,photoreceptor disc membrane
H3-4,mitochondrial inner membrane
H3-4,endoplasmic reticulum membrane
H3-4,Golgi lumen
H3-4,mitochondrial outer membrane
H3-4,early endosome membrane
H3-4,endoplasmic reticulum lumen
H3-5,mitochondrial matrix
H3-5,clathrin-coated endocytic vesicle membrane
H3-5,platelet dense granule lumen
H3-5,late endosome membrane
H3-5,endoplasmic reticulum quality control compartment
H3-5,platelet dense tubular network membrane
H3-5,nucleoplasm
H3-5,double membrane vesicle viral factory outer membrane
H3-5,nuclear envelope
H3-5,plasma membrane
H3-5,Golgi membrane
H3-5,lysosomal lumen
H3-5,phagophore assembly site membrane
H3-5,multivesicular body lumen
H3-5,endosome membrane
H3-5,clathrin-coated endocytic vesicle
H3-5,peroxisomal matrix
H3-5,cytoplasmic vesicle membrane
H3-5,cytosol
H3-5,trans-Golgi network membrane
H3-5,extracellular region
H3-5,mitochondrial inner membrane
H3-5,lysosomal membrane
H3-5,cell junction
H3-5,endoplasmic reticulum membrane
H3-5,Golgi lumen
H3-5,early endosome membrane
H3-5,endoplasmic reticulum lumen
H3C1,nucleoplasm
H3C1,cytosol
H3C1,extracellular region
H3C10,nucleoplasm
H3C10,cytosol
H3C10,extracellular region
H3C11,nucleoplasm
H3C11,cytosol
H3C11,extracellular region
H3C12,nucleoplasm
H3C12,cytosol
H3C12,extracellular region
H3C13,nucleoplasm
H3C13,cytosol
H3C13,extracellular region
H3C14,nucleoplasm
H3C14,cytosol
H3C14,extracellular region
H3C15,nucleoplasm
H3C15,cytosol
H3C15,extracellular region
H3C2,nucleoplasm
H3C2,cytosol
H3C2,extracellular region
H3C3,nucleoplasm
H3C3,cytosol
H3C3,extracellular region
H3C4,nucleoplasm
H3C4,cytosol
H3C4,extracellular region
H3C6,nucleoplasm
H3C6,cytosol
H3C6,extracellular region
H3C7,nucleoplasm
H3C7,cytosol
H3C7,extracellular region
H3C8,nucleoplasm
H3C8,cytosol
H3C8,extracellular region
H4C11,nucleoplasm
H4C11,extracellular region
H4C2,nucleoplasm
H4C2,extracellular region
H4C4,nucleoplasm
H4C4,extracellular region
H4C5,nucleoplasm
H4C5,extracellular region
H4C6,nucleoplasm
H4C6,extracellular region
H4C8,nucleoplasm
H4C8,extracellular region
H4C9,nucleoplasm
H4C9,extracellular region
HAPLN1,extracellular region
HAVCR1,plasma membrane
HAX1,nucleoplasm
HAX1,cytosol
HCFC2,nucleoplasm
HCN1,plasma membrane
HCN1,extracellular region
HDAC1,mitochondrial matrix
HDAC1,cytosol
HDAC1,plasma membrane
HDAC1,nucleoplasm
HDAC2,mitochondrial matrix
HDAC2,cytosol
HDAC2,nucleoplasm
HDAC4,nuclear envelope
HDAC4,nucleoplasm
HDAC7,cytosol
HDAC7,nucleoplasm
HDAC9,nucleoplasm
HEATR1,nucleoplasm
HECTD1,cytosol
HECW1,cytosol
HECW2,cytosol
HELZ2,nucleoplasm
HERC1,nucleoplasm
HERC1,cytosol
HERC2,cytosol
HERC2,nucleoplasm
HERPUD1,nucleoplasm
HERPUD1,endoplasmic reticulum membrane
HES1,cytosol
HES1,nuclear envelope
HES1,plasma membrane
HES1,nucleoplasm
HEXA,mitochondrial matrix
HEXA,mitochondrial inner membrane
HEXA,cytosol
HEXA,lysosomal membrane
HEXA,ER to Golgi transport vesicle membrane
HEXA,plasma membrane
HEXA,endoplasmic reticulum membrane
HEXA,peroxisomal membrane
HEXA,lysosomal lumen
HEXA,trans-Golgi network membrane
HEXA,peroxisomal matrix
HEXA,endosome membrane
HEXA,endoplasmic reticulum-Golgi intermediate compartment membrane
HEXA,nucleoplasm
HEXA,Golgi membrane
HEXA,extracellular region
HEXA,phagocytic vesicle membrane
HEY1,plasma membrane
HEY1,cytosol
HEY1,nucleoplasm
HGF,recycling endosome membrane
HGF,cytosol
HGF,platelet alpha granule lumen
HGF,plasma membrane
HGF,peptidoglycan-based cell wall
HGF,nucleoplasm
HGF,extracellular region
HHAT,endoplasmic reticulum membrane
HHAT,endoplasmic reticulum lumen
HIF1A,cytosol
HIF1A,plasma membrane
HIF1A,nucleoplasm
HIKESHI,nuclear envelope
HIKESHI,cytosol
HIKESHI,nucleoplasm
HIP1,plasma membrane
HIP1,Golgi membrane
HIP1,cytosol
HIP1,extracellular region
HIP1,cytoplasmic vesicle membrane
HIPK2,nucleoplasm
HIRA,early endosome lumen
HIRA,cytosol
HIRA,early endosome membrane
HIRA,nucleoplasm
HK3,secretory granule lumen
HK3,cytosol
HK3,extracellular region
HK3,nucleoplasm
HK3,ficolin-1-rich granule lumen
HLA-A,recycling endosome membrane
HLA-A,clathrin-coated endocytic vesicle membrane
HLA-A,lysosomal lumen
HLA-A,mitochondrial matrix
HLA-A,cytosol
HLA-A,transport vesicle membrane
HLA-A,phagocytic vesicle
HLA-A,azurophil granule membrane
HLA-A,trans-Golgi network membrane
HLA-A,endoplasmic reticulum lumen
HLA-A,nucleoplasm
HLA-A,extracellular region
HLA-A,phagocytic vesicle membrane
HLA-A,integral component of lumenal side of endoplasmic reticulum membrane
HLA-A,lysosomal membrane
HLA-A,COPII-coated ER to Golgi transport vesicle
HLA-A,ER to Golgi transport vesicle membrane
HLA-A,secretory granule membrane
HLA-A,ciliary base
HLA-A,endoplasmic reticulum membrane
HLA-A,plasma membrane
HLA-A,Golgi membrane
HLA-A,clathrin-coated endocytic vesicle
HLA-A,early endosome membrane
HLA-A,Golgi lumen
HLA-A,endocytic vesicle membrane
HLA-A,cytoplasmic vesicle membrane
HLA-B,recycling endosome membrane
HLA-B,clathrin-coated endocytic vesicle membrane
HLA-B,lysosomal lumen
HLA-B,mitochondrial matrix
HLA-B,cytosol
HLA-B,transport vesicle membrane
HLA-B,phagocytic vesicle
HLA-B,synaptic vesicle membrane
HLA-B,azurophil granule membrane
HLA-B,trans-Golgi network membrane
HLA-B,endoplasmic reticulum lumen
HLA-B,nucleoplasm
HLA-B,extracellular region
HLA-B,phagocytic vesicle membrane
HLA-B,mitochondrial inner membrane
HLA-B,ciliary tip
HLA-B,integral component of lumenal side of endoplasmic reticulum membrane
HLA-B,platelet alpha granule lumen
HLA-B,lysosomal membrane
HLA-B,COPII-coated ER to Golgi transport vesicle
HLA-B,secretory granule membrane
HLA-B,ER to Golgi transport vesicle membrane
HLA-B,plasma membrane
HLA-B,endoplasmic reticulum membrane
HLA-B,Golgi membrane
HLA-B,mitochondrial outer membrane
HLA-B,clathrin-coated endocytic vesicle
HLA-B,early endosome membrane
